,id,symbol,period,interval,start_at,open_time,open,high,low,close,SMA240,SMA60,SMA20,SMA5,TEMA5,currentTEMASMADiff,previousTEMASMADiff
0,11775782,BTCUSDT,1,1,1630993560,1630993560,52598.5,52625.0,52598.5,52625.0,,,,,52625.0,,
1,11775796,BTCUSDT,1,1,1630993620,1630993620,52625.0,52628.5,52625.0,52628.5,,,,,52628.276,,
2,11775821,BTCUSDT,1,1,1630993680,1630993680,52628.5,52681.0,52628.0,52680.5,,,,,52673.124137629355,,
3,11775881,BTCUSDT,1,1,1630993740,1630993740,52680.5,52682.5,52628.5,52656.5,,,,,52664.4581685325,,
4,11775904,BTCUSDT,1,1,1630993800,1630993800,52656.5,52657.0,52655.5,52655.5,,,,52649.2,52659.41664976739,-10.216649767389754,
5,11775977,BTCUSDT,1,1,1630993860,1630993860,52655.5,52656.0,52593.0,52604.5,,,,52645.1,52618.97725927587,26.12274072413129,-10.216649767389754
6,11775991,BTCUSDT,1,1,1630993920,1630993920,52604.5,52605.0,52604.5,52605.0,,,,52640.4,52604.04279383731,36.357206162691,26.12274072413129
7,11776020,BTCUSDT,1,1,1630993980,1630993980,52605.0,52605.0,52604.5,52605.0,,,,52625.3,52599.5748475197,25.725152480299585,36.357206162691
8,11776077,BTCUSDT,1,1,1630994040,1630994040,52605.0,52625.0,52604.5,52625.0,,,,52619.0,52613.64262053156,5.35737946844165,25.725152480299585
9,11776100,BTCUSDT,1,1,1630994100,1630994100,52625.0,52646.5,52624.5,52646.5,,,,52617.2,52635.96724587237,-18.767245872375497,5.35737946844165
10,11776153,BTCUSDT,1,1,1630994160,1630994160,52646.5,52671.0,52646.0,52671.0,,,,52630.5,52662.95906214404,-32.45906214403658,-18.767245872375497
11,11776192,BTCUSDT,1,1,1630994220,1630994220,52671.0,52691.0,52650.0,52650.0,,,,52639.5,52658.78125445237,-19.281254452369467,-32.45906214403658
12,11776217,BTCUSDT,1,1,1630994280,1630994280,52650.0,52650.0,52625.5,52642.0,,,,52646.9,52649.97983381864,-3.0798338186359615,-19.281254452369467
13,11776253,BTCUSDT,1,1,1630994340,1630994340,52642.0,52642.5,52642.0,52642.0,,,,52650.3,52645.37762017708,4.922379822921357,-3.0798338186359615
14,11776308,BTCUSDT,1,1,1630994400,1630994400,52642.0,52642.5,52642.0,52642.0,,,,52649.4,52643.08214626463,6.317853735374229,4.922379822921357
15,11776492,BTCUSDT,1,1,1630994460,1630994460,52642.0,52642.5,52642.0,52642.0,,,,52643.6,52642.023056085454,1.5769439145442448,6.317853735374229
16,11776525,BTCUSDT,1,1,1630994520,1630994520,52642.0,52642.5,52642.0,52642.0,,,,52642.0,52641.603208784494,0.3967912155058002,1.5769439145442448
17,11776571,BTCUSDT,1,1,1630994580,1630994580,52642.0,52642.5,52642.0,52642.0,,,,52642.0,52641.49600296625,0.5039970337529667,0.3967912155058002
18,11776600,BTCUSDT,1,1,1630994640,1630994640,52642.0,52642.5,52626.0,52626.0,,,,52638.8,52630.26530975817,8.534690241831413,0.5039970337529667
19,11776649,BTCUSDT,1,1,1630994700,1630994700,52626.0,52626.0,52615.0,52615.0,,,52637.3,52633.4,52617.86594866411,15.534051335889671,8.534690241831413
20,11776696,BTCUSDT,1,1,1630994760,1630994760,52615.0,52615.5,52615.0,52615.5,,,52636.825,52628.1,52613.47074874964,14.629251250356901,15.534051335889671
21,11776725,BTCUSDT,1,1,1630994820,1630994820,52615.5,52615.5,52615.0,52615.0,,,52636.15,52622.7,52612.08683873927,10.613161260727793,14.629251250356901
22,11776751,BTCUSDT,1,1,1630994880,1630994880,52615.0,52615.5,52615.0,52615.5,,,52632.9,52617.4,52612.63571126966,4.7642887303445605,10.613161260727793
23,11776796,BTCUSDT,1,1,1630994940,1630994940,52615.5,52615.5,52615.0,52615.5,,,52630.85,52615.3,52613.49868911268,1.8013108873201418,4.7642887303445605
24,11776849,BTCUSDT,1,1,1630995000,1630995000,52615.5,52620.0,52615.0,52619.5,,,52629.05,52616.2,52617.11997886348,-0.9199788634796278,1.8013108873201418
25,11776864,BTCUSDT,1,1,1630995060,1630995060,52619.5,52620.0,52619.5,52620.0,,,52629.825,52617.1,52619.28181162934,-2.1818116293434286,-0.9199788634796278
26,11776921,BTCUSDT,1,1,1630995120,1630995120,52620.0,52620.0,52619.5,52619.5,,,52630.55,52618.0,52619.90326948488,-1.9032694848792744,-2.1818116293434286
27,11776950,BTCUSDT,1,1,1630995180,1630995180,52619.5,52620.0,52619.5,52619.5,,,52631.275,52618.8,52620.11450231987,-1.3145023198667332,-1.9032694848792744
28,11776976,BTCUSDT,1,1,1630995240,1630995240,52619.5,52620.0,52619.5,52620.0,,,52631.025,52619.7,52620.4785194638,-0.7785194638054236,-1.3145023198667332
29,11777038,BTCUSDT,1,1,1630995300,1630995300,52620.0,52620.0,52619.5,52619.5,,,52629.675,52619.7,52620.20163139387,-0.5016313938758685,-0.7785194638054236
30,11777100,BTCUSDT,1,1,1630995360,1630995360,52619.5,52620.0,52619.5,52619.5,,,52627.1,52619.6,52620.00286966768,-0.4028696676832624,-0.5016313938758685
31,11777113,BTCUSDT,1,1,1630995420,1630995420,52619.5,52620.0,52615.0,52615.5,,,52625.375,52618.8,52617.04534352409,1.7546564759104513,-0.4028696676832624
32,11777155,BTCUSDT,1,1,1630995480,1630995480,52615.5,52615.5,52584.5,52586.0,,,52622.575,52612.1,52594.998440983465,17.10155901653343,1.7546564759104513
